Characteristic,Characteristic_i,Optimum,variable,reclass_string,gcm,ssp,period,file
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp126,2041-2070,data-chelsa/CHELSA_bio6_2041-2070_gfdl-esm4_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp370,2041-2070,data-chelsa/CHELSA_bio6_2041-2070_gfdl-esm4_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp585,2041-2070,data-chelsa/CHELSA_bio6_2041-2070_gfdl-esm4_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp126,2041-2070,data-chelsa/CHELSA_bio6_2041-2070_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp126,2041-2070,data-chelsa/CHELSA_bio6_2041-2070_ukesm1-0-ll_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp126,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_gfdl-esm4_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp370,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_gfdl-esm4_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp585,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_gfdl-esm4_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp126,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp370,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp585,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp126,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp370,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp585,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp126,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mri-esm2-0_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp370,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mri-esm2-0_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp585,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_mri-esm2-0_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp126,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ukesm1-0-ll_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp370,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ukesm1-0-ll_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp585,2071-2100,data-chelsa/CHELSA_bio6_2071-2100_ukesm1-0-ll_ssp585_V.2.1.tif
