filename,gcm,ssp,variable,month,period,path
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_03_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,03,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_04_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,04,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_05_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,05,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_06_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,06,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_07_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,07,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_08_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,08,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_09_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,09,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_10_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,10,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_11_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,11,2071_2100,data-raw/chelsa
CHELSA_ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_pr_12_2071_2100_norm.tif,ipsl-cm6a-lr,ssp370,pr,12,2071_2100,data-raw/chelsa
